Grammys,4497677
The Weeknd,464538
"""Uno""",410018
Newsmax,350807
KIM TAEHYUNG,260472
After Hours,163663
Flynn,128085
Scotland,120451
Nicki,109168
Happy Thanksgiving,101025
Bon Iver,92002
Paul Ryan,84137
Noah,74988
Ivan,60775
Warrior,48274
#TheBachelorette,43604
Tangled,37360
jeonghan,37040
Cardi,35491
lorde,24395
Tornado,20625
Vela,19980
Jordan Peterson,18190
#LiveInConcert,14785
Clemson,13472
Michelin,11839
Bennett,11711
Nashville,11701
Druski,<10K
#SEAvLAFC,<10K
UNO Out,<10K
#Sounders,<10K
#BigSky,<10K
Tatum,<10K
Ruidiaz,<10K
Gettysburg,<10K
jeff azoff,<10K
Chris Harrison,<10K
Lodeiro,<10K
Nouhou,<10K
Hillbilly Elegy,<10K
Frei,<10K
Bone Spurs,<10K
Jordan Morris,<10K
Bogi,<10K
Galactic Spirit Sword,<10K
Wyndham,<10K
Bruce Arena,<10K
Alex Roldan,<10K
SSNs,<10K
